Page URL,Hreflang,Issue Type,Discovered
https://theprofitplatform.com.au/blog/?tag=Lead Generation,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/?tag=Link Building,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/?tag=Local SEO,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/?tag=Local Search,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/?tag=Marketing,,No self-referencing hreflang,11 Oct 2025 (00:11 UTC)
https://theprofitplatform.com.au/blog/?tag=Marketing Budget,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/?tag=Marketing Tools,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/?tag=Mobile Design,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/?tag=Multi-Location,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/?tag=NAP,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/?tag=Optimization,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/?tag=PPC,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/?tag=PPC Optimization,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/?tag=Posts,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/?tag=Productivity,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/?tag=Professional Services,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/?tag=Quality Score,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/?tag=ROI,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/?tag=Rankings,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/?tag=Remarketing,,No self-referencing hreflang,11 Oct 2025 (00:11 UTC)
https://theprofitplatform.com.au/blog/?tag=Resources,,No self-referencing hreflang,11 Oct 2025 (00:11 UTC)
https://theprofitplatform.com.au/blog/?tag=Responsive Design,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/?tag=Retargeting,,No self-referencing hreflang,11 Oct 2025 (00:11 UTC)
https://theprofitplatform.com.au/blog/?tag=Rich Results,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/?tag=SEO,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/?tag=SEO Tools,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/?tag=Schema Markup,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/?tag=Service Business,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/?tag=Setup,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/?tag=Small Business,,No self-referencing hreflang,11 Oct 2025 (00:11 UTC)
https://theprofitplatform.com.au/blog/?tag=Structured Data,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/?tag=Sydney,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/?tag=Sydney Business,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/?tag=Tracking,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/?tag=User Experience,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/?tag=WordPress,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/?tag=eCommerce,,No self-referencing hreflang,11 Oct 2025 (00:11 UTC)
https://theprofitplatform.com.au/blog/complete-guide-to-multi-location-seo-for-sydney-business-owners,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/complete-guide-to-multi-location-seo-for-sydney-business-owners/,,No self-referencing hreflang,11 Oct 2025 (00:11 UTC)
https://theprofitplatform.com.au/blog/google-ads-extensions-complete-guide-to-maximising-click-through-rates/(/blog/7-google-ads-mistakes-costing-sydney-businesses-thousands-every-month/),,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/google-ads-for-service-businesses-campaign-structure-that-converts/,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/google-ads-guide,,No self-referencing hreflang,05 Oct 2025 (03:42 UTC)
https://theprofitplatform.com.au/blog/google-ads-vs-seo-which-should-sydney-small-businesses-invest-in-first/,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/how-to-reduce-google-ads-cost-per-click-without-sacrificing-quality/,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/how-to-write-google-ads-copy-that-converts-for-sydney-service-businesses/,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/keyword-research-for-local-sydney-businesses-the-complete-framework/,,No self-referencing hreflang,11 Oct 2025 (00:11 UTC)
https://theprofitplatform.com.au/blog/negative-keywords-how-to-stop-wasting-money-on-google-ads,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/negative-keywords-how-to-stop-wasting-money-on-google-ads/,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/parramatta-plumber-case-study/?utm_source=theprofitplatform&utm_medium=referral,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/blog/seo-guide,,No self-referencing hreflang,05 Oct 2025 (03:42 UTC)
https://theprofitplatform.com.au/blog/website-speed-optimization-how-sydney-businesses-can-improve-core-web-vitals/,,No self-referencing hreflang,08 Oct 2025 (02:27 UTC)
https://theprofitplatform.com.au/contact/?service=google-ads,,No self-referencing hreflang,05 Oct 2025 (03:42 UTC)
https://theprofitplatform.com.au/contact/?service=seo,,No self-referencing hreflang,05 Oct 2025 (03:42 UTC)
https://theprofitplatform.com.au/contact/?service=web-design,,No self-referencing hreflang,05 Oct 2025 (03:42 UTC)
https://theprofitplatform.com.au/google-ads/contact.html?plan=enterprise,,No self-referencing hreflang,05 Oct 2025 (03:42 UTC)
https://theprofitplatform.com.au/google-ads/contact.html?plan=growth,,No self-referencing hreflang,05 Oct 2025 (03:42 UTC)
https://theprofitplatform.com.au/google-ads/contact.html?plan=starter,,No self-referencing hreflang,05 Oct 2025 (03:42 UTC)
https://theprofitplatform.com.au/local-seo-checklist,,No self-referencing hreflang,05 Oct 2025 (03:42 UTC)
https://theprofitplatform.com.au/privacy-policy,,No self-referencing hreflang,05 Oct 2025 (03:42 UTC)
https://theprofitplatform.com.au/sitemap,,No self-referencing hreflang,05 Oct 2025 (03:42 UTC)
https://theprofitplatform.com.au/social-media,,No self-referencing hreflang,05 Oct 2025 (03:42 UTC)
https://theprofitplatform.com.au/terms-of-service,,No self-referencing hreflang,05 Oct 2025 (03:42 UTC)
https://theprofitplatform.com.au/webinars,,No self-referencing hreflang,05 Oct 2025 (03:42 UTC)
